TotalDisplacement 3348653
MaxDisplacement 389
NumCells 210904
c153926 771 8523
c153923 740 8187
c153816 777 7803
c153809 753 8187
c153774 777 8151
c153559 778 8283
c153750 761 8331
c154095 777 9135
c153931 771 7839
c153770 757 8343
c154606 772 8463
c153924 764 8127
c153893 786 7839
c154383 781 8343
c155066 774 9327
c154388 768 8055
c154395 780 9363
c154244 786 7791
c153802 777 8367
c154991 793 8199
c153938 780 8139
c153942 780 8259
c154258 767 9531
c154248 786 8463
c154502 780 8055
c153629 764 8271
c153747 753 8079
c153781 769 7887
c153801 764 8295
c155061 785 9675
c154386 774 7947
c153875 760 9483
c153877 755 9579
c153758 777 7827
c153939 788 8055
c153587 793 8691
c154498 774 9423
c153898 786 8523
c154410 796 8415
c153652 768 9075
c153778 777 8619
c153844 777 7707
c154890 794 8475
c153936 788 8355
c153773 777 8127
c154093 779 9339
c154122 785 8331
c154397 780 9279
c154133 777 7959
c154988 769 8211
c154249 749 8307
c154389 780 9567
c153840 753 8007
c154503 793 8091
c154978 793 8343
c153784 777 7767
c154612 768 9315
c155034 785 9171
c154340 767 9471
c154062 779 9579
c154066 755 9387
c153556 762 8307
c153805 777 8211
c153618 782 9315
c154059 779 9531
c154408 772 9267
c154695 781 8979
c154123 772 8271
c155023 772 8307
c153901 776 8115
c154406 779 9195
c154399 780 9207
c153622 782 9123
c154493 784 9267
c153648 768 9387
c154250 788 8283
c153845 753 7899
c154509 793 8259
c153874 768 9543
c130022 794 7683
c154087 779 9303
c153608 793 8439
c154500 784 9243
c154497 784 9291
c153794 777 7899
c154085 779 9327
c153818 777 8007
c153613 784 9483
c153933 786 7947
c154604 777 7923
c153606 791 7923
c154609 778 9507
c154135 785 7779
c154110 770 8391
c154786 783 8391
c154400 779 9159
c154245 786 7851
c153900 788 8271
c154118 778 8379
c153600 793 8379
c153610 793 7887
c153772 777 8079
c153797 777 8187
c154385 789 7935
c154086 779 9183
c153628 788 8391
c154421 789 8067
c154688 784 8307
c154836 793 7959
c154837 796 7875
c154264 796 8391
c154109 788 8511
c154111 788 8319
c154061 779 9471
c153614 782 9423
c154178 785 7911
c154504 793 8139
c209770 883 4215
c154450 789 8115
c154297 787 8859
c153558 788 8295
c154801 796 8763
c154261 796 8295
c207754 930 6411
c207740 939 6447
c160430 1058 10971
c209897 1063 3687
c160429 1071 11127
c160939 1089 11019
c209896 1107 3879
c162156 1133 11019
c162128 1162 11043
c160941 1165 11007
c161676 1166 11031
c160821 1168 11019
c161381 1170 10995
c161675 1171 10923
c160431 1173 11067
c161382 1177 10983
c162039 1181 11127
c162677 1182 10935
c161759 1182 10959
c161413 1197 11091
c160428 1197 11007
c162683 1205 11031
c160818 1202 10959
c161383 1205 10947
c161674 1206 11019
c161760 1209 10995
c161677 1209 10923
c161758 1226 11007
c161380 1231 10959
c209788 1313 7431
c161409 1229 10923
c17678 1234 3879
c161412 1237 11091
c209792 1313 7119
c13555 1244 3891
c162093 1249 10923
c46881 1307 2691
c14310 1271 5139
c210542 1271 6207
c209798 1313 7779
c17716 1271 5235
c160937 1260 10935
c160817 1252 10971
c16272 1261 3915
c209806 1313 6927
c162027 1265 10923
c161414 1268 10983
c209786 1313 6987
c14859 1269 3831
c160940 1304 10863
c14337 1271 3975
c160819 1281 10971
c162625 1272 11019
c160426 1273 11043
c18141 1273 5187
c14313 1272 5319
c14332 1274 5127
c161411 1275 11091
c16041 1271 5151
c16603 1280 5331
c15696 1280 4131
c16039 1279 5211
c18136 1281 5163
c160942 1282 10923
c209776 1313 7131
c16504 1287 5295
c14322 1289 5115
c14309 1290 4935
c46901 1307 2451
c14317 1289 5079
c14088 1292 5067
c161379 1292 10959
c14092 1292 4707
c18821 1292 4983
c14082 1293 5031
c160820 1294 10983
c16042 1294 4851
c14326 1295 5223
c16999 1292 5331
c161416 1295 11067
c162682 1304 10911
c16604 1301 5319
c16697 1298 5187
c15738 1299 5211
c14081 1300 4923
c18139 1300 5235
c16944 1303 5331
c14320 1291 5151
c14315 1303 5175
c14328 1304 5211
c160935 1304 10815
c16624 1306 5247
c14095 1307 4647
c13554 1302 3879
c18194 1308 5259
c17709 1308 5163
c14339 1310 3879
c162123 1308 10839
c161410 1309 11091
c15698 1309 4119
c16273 1309 3795
c16625 1302 5307
c17508 1311 5367
c16106 1274 5091
c15883 1318 5079
c160433 1312 11055
c18028 1312 5199
c16546 1274 5403
c17677 1314 3939
c14079 1314 4863
c14338 1314 3807
c161415 1316 11043
c18359 1287 5091
c14083 1316 4911
c15937 1317 3963
c16061 1319 4563
c16658 1320 5319
c17896 1320 5331
c15701 1320 4227
c17674 1322 4143
c14673 1321 4083
c14308 1309 5127
c16256 1325 4227
c160427 1325 10995
c13546 1325 4023
c209785 1326 6879
c14321 1325 5259
c18107 1317 5271
c16271 1324 3759
c46878 1327 6171
c160822 1328 10947
c13436 1328 5283
c16660 1327 5271
c209892 1287 5403
c17040 1327 5355
c128687 1330 6699
c17836 1330 5163
c210114 1330 6159
c14860 1336 3759
c209802 1332 6975
c128691 1332 6807
c16033 1327 5067
c15933 1332 3987
c17124 1329 5115
c209803 1332 6363
c160932 1327 10839
c17009 1324 5007
c16053 1333 4683
c16670 1334 5427
c15935 1334 4095
c17165 1334 5175
c17034 1334 5451
c14078 1335 4971
c14325 1333 5127
c17671 1335 4011
c160816 1331 10935
c16543 1338 5355
c13675 1347 5067
c16337 1337 5043
c14090 1338 4803
c14316 1335 5007
c13673 1338 5139
c13964 1340 5271
c160660 1339 10923
c160432 1332 11019
c17000 1339 5223
c13660 1339 5235
c13978 1340 5379
c17143 1320 5151
c16542 1337 5367
c17667 1341 4191
c210541 1342 6159
c15932 1342 4275
c17014 1342 5343
c161384 1341 10971
c14100 1342 4923
c161910 1342 10899
c15739 1348 5271
c14678 1345 4083
c15737 1343 5295
c160823 1330 11007
c13996 1350 5367
c151969 1344 5559
c19130 1344 4167
c14101 1327 4947
c16544 1339 5439
c13435 1345 5331
c209789 1346 7467
c160421 1359 11007
c17033 1346 5475
c209761 1346 5847
c13894 1344 5187
c16262 1339 4143
c13995 1347 5511
c17086 1353 5271
c18067 1352 4143
c14077 1347 4995
c17509 1343 5319
c46879 1348 6327
c160662 1348 11031
c14432 1340 5115
c15777 1352 5187
c17055 1352 5439
c209787 1349 7095
c151976 1349 5667
c14098 1350 4767
c15779 1351 5235
c13994 1354 5259
c17830 1348 4899
c17665 1350 4155
c14665 1350 4371
c18144 1350 4755
c14667 1350 4179
c17488 1351 4983
c160936 1351 10959
c160658 1356 10839
c162139 1349 10851
c13664 1352 5139
c15934 1352 4047
c14336 1352 3939
c14417 1352 4887
c210107 1352 5691
c209765 1353 5247
c17731 1351 5319
c14085 1356 4947
c15513 1353 4611
c161378 1361 11019
c151965 1354 5559
c151056 1354 5571
c160422 1360 10935
c18877 1355 4227
c16008 1355 5067
c13772 1355 5379
c17689 1355 4587
c17039 1355 5463
c209764 1357 5859
c210000 1357 6411
c14076 1364 5007
c162676 1357 10911
c16011 1357 4779
c16007 1357 4743
c17048 1357 5079
c15702 1359 4287
c161660 1359 10635
c13561 1359 4419
c161377 1361 10971
c17146 1294 5091
c14436 1331 5151
c14333 1314 5307
c17089 1362 5259
c13920 1358 5223
c14858 1360 3831
c15695 1361 4155
c14086 1353 5103
c13777 1356 5391
c18358 1360 4971
c14099 1362 4899
c14318 1361 5199
c16014 1369 5115
c17968 1361 3867
c16605 1361 5331
c16283 1362 4467
c129112 1363 7551
c209781 1363 6435
c17128 1362 5127
c151008 1363 5439
c16293 1364 4527
c209768 1297 5403
c162530 1365 10995
c16636 1373 5127
c160930 1365 10791
c14405 1357 4731
c209767 1363 5511
c14429 1365 4983
c16986 1366 5223
c14424 1365 4911
c13683 1305 5091
c13558 1366 4695
c210119 1366 5943
c13674 1368 5079
c160661 1367 10863
c210531 1367 5715
c13564 1363 4491
c17013 1307 5403
c14857 1367 3927
c14401 1367 4755
c17131 1367 4971
c14324 1381 5127
c16551 1367 5271
c13985 1366 5463
c151014 1366 5535
c160598 1368 10719
c17012 1361 5319
c162234 1363 10851
c46900 1369 2247
c17133 1355 5019
c151948 1369 5655
c160425 1369 10947
c209773 1369 7239
c18153 1355 4647
c16267 1370 4311
c46883 1370 6099
c151485 1370 5547
